<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2000.06.15	0.60040	0.60680	0.59750	0.60550	4023	0	50
2000.06.16	0.60620	0.61030	0.60540	0.60600	3529	0	50
2000.06.18	0.60580	0.60730	0.60460	0.60460	381	0	50
2000.06.19	0.60450	0.60480	0.60020	0.60390	3792	0	50
2000.06.20	0.60380	0.60660	0.60030	0.60050	3455	0	50
2000.06.21	0.60030	0.60360	0.59820	0.60180	4002	0	50
2000.06.22	0.60190	0.60270	0.59410	0.59690	3867	0	50
2000.06.23	0.59680	0.59750	0.59370	0.59470	3323	0	50
2000.06.25	0.59450	0.59600	0.59320	0.59360	347	0	50
2000.06.26	0.59340	0.60170	0.59170	0.60060	3670	0	50
2000.06.27	0.60070	0.60370	0.59900	0.60280	3815	0	50
2000.06.28	0.60290	0.60550	0.60020	0.60350	3660	0	50
2000.06.29	0.60340	0.60500	0.59970	0.60030	4081	0	50
2000.06.30	0.60040	0.60300	0.59320	0.59500	3718	0	50
2000.07.02	0.59690	0.59990	0.59680	0.59970	299	0	50
2000.07.03	0.60020	0.60200	0.59720	0.59840	3727	0	50
2000.07.04	0.59870	0.59970	0.59670	0.59780	2245	0	50
2000.07.05	0.59780	0.59780	0.58850	0.59080	3903	0	50
2000.07.06	0.59070	0.59240	0.58900	0.59070	3548	0	50
2000.07.07	0.59060	0.59230	0.58620	0.59230	3557	0	50
2000.07.09	0.59160	0.59240	0.59070	0.59100	202	0	50
2000.07.10	0.59100	0.59560	0.59050	0.59170	3076	0	50
2000.07.11	0.59170	0.59270	0.58700	0.58730	3452	0	50
2000.07.12	0.58690	0.59200	0.58620	0.58810	3821	0	50
2000.07.13	0.58800	0.59170	0.58250	0.58460	3861	0	50
2000.07.14	0.58470	0.58710	0.58320	0.58410	3104	0	50
2000.07.16	0.58400	0.58430	0.58180	0.58340	331	0	50
2000.07.17	0.58330	0.58940	0.58150	0.58310	3473	0	50
2000.07.18	0.58330	0.58570	0.58070	0.58100	3785	0	50
2000.07.19	0.58110	0.58350	0.57470	0.57770	3926	0	50
2000.07.20	0.57740	0.58420	0.57550	0.58360	4193	0	50
2000.07.21	0.58350	0.58900	0.58250	0.58640	3045	0	50
2000.07.23	0.58610	0.58840	0.58590	0.58800	273	0	50
2000.07.24	0.58790	0.58950	0.58320	0.58380	2776	0	50
2000.07.25	0.58320	0.58760	0.58270	0.58490	3385	0	50
2000.07.26	0.58480	0.59220	0.58360	0.59100	3778	0	50
2000.07.27	0.59080	0.59370	0.58700	0.58870	3800	0	50
2000.07.28	0.58880	0.59250	0.58570	0.58790	3044	0	50
2000.07.30	0.58720	0.58740	0.58330	0.58340	320	0	50
2000.07.31	0.58330	0.58400	0.57710	0.58190	4224	0	50
2000.08.01	0.58160	0.58250	0.57780	0.57870	3612	0	50
2000.08.02	0.57790	0.58670	0.57590	0.58500	3703	0	50
2000.08.03	0.58490	0.58750	0.58070	0.58450	4323	0	50
2000.08.04	0.58420	0.58650	0.58090	0.58560	3595	0	50
2000.08.06	0.58650	0.58770	0.58580	0.58630	295	0	50
2000.08.07	0.58620	0.58880	0.58420	0.58840	3514	0	50
2000.08.08	0.58860	0.58920	0.58230	0.58360	3438	0	50
2000.08.09	0.58350	0.58520	0.57650	0.57910	3446	0	50
2000.08.10	0.57900	0.58380	0.57770	0.58350	3724	0	50
2000.08.11	0.58310	0.58450	0.57760	0.57900	2190	0	50
2000.08.13	0.57920	0.58080	0.57880	0.58050	244	0	50
2000.08.14	0.58040	0.58400	0.57700	0.58290	3817	0	50
